date,group,deaths
2020-01-03,0-17,0.0
2020-01-03,18-39,0.0
2020-01-03,40-59,0.0
2020-01-03,60-74,0.0
2020-01-03,75+,0.0
2020-01-10,0-17,0.0
2020-01-10,18-39,0.0
2020-01-10,40-59,0.0
2020-01-10,60-74,0.0
2020-01-10,75+,0.0
2020-01-17,0-17,0.0
2020-01-17,18-39,0.0
2020-01-17,40-59,0.0
2020-01-17,60-74,0.0
2020-01-17,75+,0.0
2020-01-24,0-17,0.0
2020-01-24,18-39,0.0
2020-01-24,40-59,0.0
2020-01-24,60-74,0.0
2020-01-24,75+,0.0
2020-01-31,0-17,0.0
2020-01-31,18-39,0.0
2020-01-31,40-59,0.0
2020-01-31,60-74,0.0
2020-01-31,75+,0.0
2020-02-07,0-17,0.0
2020-02-07,18-39,0.0
2020-02-07,40-59,0.0
2020-02-07,60-74,0.0
2020-02-07,75+,0.0
2020-02-14,0-17,0.0
2020-02-14,18-39,0.0
2020-02-14,40-59,0.0
2020-02-14,60-74,0.0
2020-02-14,75+,0.0
2020-02-21,0-17,0.0
2020-02-21,18-39,0.0
2020-02-21,40-59,0.0
2020-02-21,60-74,0.0
2020-02-21,75+,0.0
2020-02-28,0-17,0.0
2020-02-28,18-39,0.0
2020-02-28,40-59,0.0
2020-02-28,60-74,0.0
2020-02-28,75+,0.0
2020-03-06,0-17,0.0
2020-03-06,18-39,0.0
2020-03-06,40-59,0.0
2020-03-06,60-74,0.0
2020-03-06,75+,0.0
2020-03-13,0-17,0.0
2020-03-13,18-39,0.0
2020-03-13,40-59,0.0
2020-03-13,60-74,2.0
2020-03-13,75+,3.0
2020-03-20,0-17,0.0
2020-03-20,18-39,0.0
2020-03-20,40-59,5.0
2020-03-20,60-74,22.0
2020-03-20,75+,76.0
2020-03-27,0-17,0.0
2020-03-27,18-39,8.0
2020-03-27,40-59,33.0
2020-03-27,60-74,129.0
2020-03-27,75+,369.0
2020-04-03,0-17,0.0
2020-04-03,18-39,32.0
2020-04-03,40-59,254.0
2020-04-03,60-74,795.0
2020-04-03,75+,2394.0
2020-04-10,0-17,0.0
2020-04-10,18-39,42.0
2020-04-10,40-59,441.0
2020-04-10,60-74,1437.0
2020-04-10,75+,4293.0
2020-04-17,0-17,2.0
2020-04-17,18-39,52.0
2020-04-17,40-59,602.0
2020-04-17,60-74,1855.0
2020-04-17,75+,6247.0
2020-04-24,0-17,0.0
2020-04-24,18-39,50.0
2020-04-24,40-59,514.0
2020-04-24,60-74,1551.0
2020-04-24,75+,6122.0
2020-05-01,0-17,0.0
2020-05-01,18-39,29.0
2020-05-01,40-59,337.0
2020-05-01,60-74,1003.0
2020-05-01,75+,4666.0
2020-05-08,0-17,1.0
2020-05-08,18-39,22.0
2020-05-08,40-59,200.0
2020-05-08,60-74,621.0
2020-05-08,75+,3086.0
2020-05-15,0-17,1.0
2020-05-15,18-39,19.0
2020-05-15,40-59,158.0
2020-05-15,60-74,607.0
2020-05-15,75+,3025.0
2020-05-22,0-17,0.0
2020-05-22,18-39,11.0
2020-05-22,40-59,131.0
2020-05-22,60-74,388.0
2020-05-22,75+,2059.0
2020-05-29,0-17,1.0
2020-05-29,18-39,4.0
2020-05-29,40-59,72.0
2020-05-29,60-74,276.0
2020-05-29,75+,1469.0
2020-06-05,0-17,1.0
2020-06-05,18-39,9.0
2020-06-05,40-59,82.0
2020-06-05,60-74,260.0
2020-06-05,75+,1236.0
2020-06-12,0-17,0.0
2020-06-12,18-39,4.0
2020-06-12,40-59,56.0
2020-06-12,60-74,171.0
2020-06-12,75+,883.0
2020-06-19,0-17,0.0
2020-06-19,18-39,6.0
2020-06-19,40-59,42.0
2020-06-19,60-74,134.0
2020-06-19,75+,601.0
2020-06-26,0-17,0.0
2020-06-26,18-39,0.0
2020-06-26,40-59,31.0
2020-06-26,60-74,112.0
2020-06-26,75+,463.0
2020-07-03,0-17,0.0
2020-07-03,18-39,2.0
2020-07-03,40-59,33.0
2020-07-03,60-74,84.0
2020-07-03,75+,413.0
2020-07-10,0-17,0.0
2020-07-10,18-39,2.0
2020-07-10,40-59,16.0
2020-07-10,60-74,74.0
2020-07-10,75+,274.0
2020-07-17,0-17,0.0
2020-07-17,18-39,1.0
2020-07-17,40-59,21.0
2020-07-17,60-74,50.0
2020-07-17,75+,223.0
2020-07-24,0-17,0.0
2020-07-24,18-39,1.0
2020-07-24,40-59,22.0
2020-07-24,60-74,47.0
2020-07-24,75+,147.0
2020-07-31,0-17,1.0
2020-07-31,18-39,1.0
2020-07-31,40-59,14.0
2020-07-31,60-74,39.0
2020-07-31,75+,138.0
2020-08-07,0-17,0.0
2020-08-07,18-39,0.0
2020-08-07,40-59,10.0
2020-08-07,60-74,34.0
2020-08-07,75+,108.0
2020-08-14,0-17,0.0
2020-08-14,18-39,1.0
2020-08-14,40-59,4.0
2020-08-14,60-74,30.0
2020-08-14,75+,104.0
2020-08-21,0-17,0.0
2020-08-21,18-39,0.0
2020-08-21,40-59,14.0
2020-08-21,60-74,21.0
2020-08-21,75+,103.0
2020-08-28,0-17,0.0
2020-08-28,18-39,2.0
2020-08-28,40-59,11.0
2020-08-28,60-74,18.0
2020-08-28,75+,70.0
2020-09-04,0-17,0.0
2020-09-04,18-39,0.0
2020-09-04,40-59,7.0
2020-09-04,60-74,16.0
