date,group,deaths
2020-01-03,female,0.0
2020-01-03,male,0.0
2020-01-10,female,0.0
2020-01-10,male,0.0
2020-01-17,female,0.0
2020-01-17,male,0.0
2020-01-24,female,0.0
2020-01-24,male,0.0
2020-01-31,female,0.0
2020-01-31,male,0.0
2020-02-07,female,0.0
2020-02-07,male,0.0
2020-02-14,female,0.0
2020-02-14,male,0.0
2020-02-21,female,0.0
2020-02-21,male,0.0
2020-02-28,female,0.0
2020-02-28,male,0.0
2020-03-06,female,0.0
2020-03-06,male,0.0
2020-03-13,female,3.0
2020-03-13,male,2.0
2020-03-20,female,41.0
2020-03-20,male,62.0
2020-03-27,female,206.0
2020-03-27,male,333.0
2020-04-03,female,1349.0
2020-04-03,male,2126.0
2020-04-10,female,2394.0
2020-04-10,male,3819.0
2020-04-17,female,3701.0
2020-04-17,male,5057.0
2020-04-24,female,3683.0
2020-04-24,male,4554.0
2020-05-01,female,2881.0
2020-05-01,male,3154.0
2020-05-08,female,1938.0
2020-05-08,male,1992.0
2020-05-15,female,1867.0
2020-05-15,male,1943.0
2020-05-22,female,1298.0
2020-05-22,male,1291.0
2020-05-29,female,927.0
2020-05-29,male,895.0
2020-06-05,female,804.0
2020-06-05,male,784.0
2020-06-12,female,543.0
2020-06-12,male,571.0
2020-06-19,female,391.0
2020-06-19,male,392.0
2020-06-26,female,267.0
2020-06-26,male,339.0
2020-07-03,female,250.0
2020-07-03,male,282.0
2020-07-10,female,164.0
2020-07-10,male,202.0
2020-07-17,female,131.0
2020-07-17,male,164.0
2020-07-24,female,103.0
2020-07-24,male,114.0
2020-07-31,female,86.0
2020-07-31,male,107.0
2020-08-07,female,74.0
2020-08-07,male,78.0
2020-08-14,female,70.0
2020-08-14,male,69.0
2020-08-21,female,68.0
2020-08-21,male,70.0
2020-08-28,female,35.0
2020-08-28,male,66.0
2020-09-04,female,32.0
2020-09-04,male,46.0
2020-09-11,female,42.0
2020-09-11,male,57.0
2020-09-18,female,63.0
2020-09-18,male,76.0
2020-09-25,female,84.0
2020-09-25,male,131.0
2020-10-02,female,136.0
2020-10-02,male,185.0
2020-10-09,female,181.0
2020-10-09,male,257.0
2020-10-16,female,282.0
2020-10-16,male,388.0
2020-10-23,female,411.0
2020-10-23,male,567.0
2020-10-30,female,590.0
2020-10-30,male,789.0
2020-11-06,female,849.0
2020-11-06,male,1088.0
2020-11-13,female,1113.0
2020-11-13,male,1353.0
2020-11-20,female,1152.0
2020-11-20,male,1545.0
2020-11-27,female,1339.0
2020-11-27,male,1701.0
2020-12-04,female,1279.0
2020-12-04,male,1556.0
2020-12-11,female,1224.0
2020-12-11,male,1532.0
2020-12-18,female,1371.0
2020-12-18,male,1615.0
2020-12-25,female,1298.0
2020-12-25,male,1614.0
2021-01-01,female,1454.0
2021-01-01,male,1690.0
