date,day,infections,hospital_admissions,icu_admissions,deaths
2020-02-01,0,0,0,0,0
2020-02-02,1,0,0,0,0
2020-02-03,2,0,0,0,0
2020-02-04,3,0,0,0,0
2020-02-05,4,0,0,0,0
2020-02-06,5,0,0,0,0
2020-02-07,6,0,0,0,0
2020-02-08,7,50,0,0,0
2020-02-09,8,51,0,0,0
2020-02-10,9,11,0,0,0
2020-02-11,10,14,0,0,0
2020-02-12,11,37,0,0,0
2020-02-13,12,143,0,0,0
2020-02-14,13,96,0,0,0
2020-02-15,14,76,0,0,0
2020-02-16,15,197,0,0,0
2020-02-17,16,244,0,0,0
2020-02-18,17,200,0,0,0
2020-02-19,18,250,0,0,0
2020-02-20,19,325,0,0,0
2020-02-21,20,376,0,0,0
2020-02-22,21,420,0,0,0
2020-02-23,22,483,0,0,0
2020-02-24,23,655,0,0,0
2020-02-25,24,749,0,0,0
2020-02-26,25,880,1,0,0
2020-02-27,26,887,2,0,0
2020-02-28,27,1047,1,0,0
2020-02-29,28,1429,5,0,0
2020-03-01,29,1694,4,1,0
2020-03-02,30,1925,3,0,0
2020-03-03,31,2200,2,1,0
2020-03-04,32,2632,8,0,0
2020-03-05,33,2332,10,2,2
2020-03-06,34,2930,7,1,1
2020-03-07,35,4341,10,2,1
2020-03-08,36,4761,23,0,2
2020-03-09,37,5341,19,3,0
2020-03-10,38,6321,19,2,4
2020-03-11,39,7005,24,2,0
2020-03-12,40,5891,45,3,3
2020-03-13,41,6511,43,6,7
2020-03-14,42,8552,54,6,3
2020-03-15,43,9008,55,4,5
2020-03-16,44,9307,52,6,7
2020-03-17,45,9973,66,9,6
2020-03-18,46,10845,60,8,7
2020-03-19,47,8901,83,6,10
2020-03-20,48,7974,95,11,11
2020-03-21,49,8026,109,15,14
2020-03-22,50,7837,128,16,13
2020-03-23,51,7487,129,12,18
2020-03-24,52,7264,127,22,27
2020-03-25,53,6531,152,14,17
2020-03-26,54,6004,179,21,24
2020-03-27,55,5325,168,26,28
2020-03-28,56,5429,163,19,20
2020-03-29,57,5009,162,17,30
2020-03-30,58,4693,178,22,21
2020-03-31,59,4266,140,23,41
2020-04-01,60,4217,172,19,24
2020-04-02,61,3755,155,20,22
2020-04-03,62,3574,136,26,30
2020-04-04,63,4033,145,18,33
2020-04-05,64,3722,137,20,28
2020-04-06,65,3707,138,16,29
2020-04-07,66,3794,129,26,29
2020-04-08,67,3753,128,13,25
2020-04-09,68,3431,102,15,27
2020-04-10,69,3463,119,17,29
2020-04-11,70,3829,108,17,25
2020-04-12,71,3853,113,13,36
2020-04-13,72,3778,97,14,26
2020-04-14,73,3673,92,15,30
2020-04-15,74,3808,101,6,25
2020-04-16,75,3651,97,11,19
2020-04-17,76,3785,82,10,20
2020-04-18,77,3950,85,9,22
2020-04-19,78,3885,84,9,21
2020-04-20,79,4044,85,10,21
2020-04-21,80,3983,75,8,19
2020-04-22,81,3913,84,9,22
2020-04-23,82,3873,67,8,25
2020-04-24,83,3840,79,7,19
2020-04-25,84,3979,68,5,19
2020-04-26,85,3966,75,5,18
2020-04-27,86,3881,79,4,13
2020-04-28,87,3708,62,5,17
2020-04-29,88,3743,64,6,15
2020-04-30,89,3583,61,8,15
2020-05-01,90,3484,63,6,17
2020-05-02,91,3615,51,4,13
2020-05-03,92,3375,66,8,19
2020-05-04,93,3222,58,5,22
2020-05-05,94,3241,74,12,16
2020-05-06,95,3067,45,5,12
2020-05-07,96,3002,59,5,10
2020-05-08,97,2955,55,5,11
2020-05-09,98,2850,69,6,19
2020-05-10,99,2669,50,6,15
2020-05-11,100,2656,45,4,19
2020-05-12,101,2584,50,6,18
2020-05-13,102,2439,49,4,14
2020-05-14,103,2230,38,5,6
2020-05-15,104,2183,47,6,16
2020-05-16,105,2018,43,5,7
2020-05-17,106,2055,44,2,12
2020-05-18,107,1930,51,3,10
2020-05-19,108,1786,36,5,10
2020-05-20,109,1758,45,6,12
2020-05-21,110,1676,43,6,14
2020-05-22,111,1634,42,4,14
2020-05-23,112,1563,38,4,15
2020-05-24,113,1479,32,4,10
2020-05-25,114,1406,32,3,17
2020-05-26,115,1395,35,2,6
2020-05-27,116,1243,28,5,7
2020-05-28,117,1081,32,2,7
2020-05-29,118,1011,30,5,7
2020-05-30,119,1119,27,1,10
2020-05-31,120,953,27,5,6
2020-06-01,121,1013,30,2,5
2020-06-02,122,988,25,3,9
2020-06-03,123,1060,27,6,7
2020-06-04,124,861,30,3,3
2020-06-05,125,776,24,2,9
2020-06-06,126,874,36,1,5
2020-06-07,127,862,20,2,7
2020-06-08,128,791,35,3,5
2020-06-09,129,796,24,5,4
2020-06-10,130,813,24,6,6
2020-06-11,131,725,16,1,8
2020-06-12,132,696,18,0,7
2020-06-13,133,721,26,2,3
2020-06-14,134,659,17,3,2
2020-06-15,135,674,19,3,3
2020-06-16,136,686,16,2,7
2020-06-17,137,656,20,5,1
2020-06-18,138,583,10,2,9
2020-06-19,139,571,25,2,6
2020-06-20,140,642,15,1,6
2020-06-21,141,590,20,1,2
2020-06-22,142,513,16,3,3
2020-06-23,143,561,22,2,5
2020-06-24,144,547,13,3,4
2020-06-25,145,508,20,1,6
2020-06-26,146,459,19,2,7
2020-06-27,147,518,14,2,6
2020-06-28,148,524,10,1,5
2020-06-29,149,615,12,0,3
2020-06-30,150,741,23,0,4
2020-07-01,151,695,18,5,3
2020-07-02,152,596,10,2,8
2020-07-03,153,534,10,1,1
2020-07-04,154,637,18,0,4
2020-07-05,155,589,18,1,3
2020-07-06,156,655,18,3,3
2020-07-07,157,674,10,1,6
2020-07-08,158,754,18,2,6
2020-07-09,159,775,16,3,5
2020-07-10,160,752,20,2,8
2020-07-11,161,758,20,4,4
2020-07-12,162,688,16,3,4
2020-07-13,163,749,16,2,7
2020-07-14,164,784,18,1,2
2020-07-15,165,788,25,3,3
2020-07-16,166,986,17,1,7
2020-07-17,167,824,22,1,3
2020-07-18,168,846,31,4,2
2020-07-19,169,947,23,3,1
2020-07-20,170,872,30,3,3
2020-07-21,171,843,33,5,3
2020-07-22,172,956,20,2,7
2020-07-23,173,1056,22,2,4
2020-07-24,174,1103,37,2,5
2020-07-25,175,993,33,6,10
2020-07-26,176,994,31,1,8
2020-07-27,177,1010,33,5,7
2020-07-28,178,1077,30,4,8
2020-07-29,179,1140,47,3,7
2020-07-30,180,1250,44,4,11
2020-07-31,181,1273,16,1,5
