week,group,deaths
2020-03-02,40-59,1
2020-03-02,60-74,1
2020-03-02,75+,4
2020-03-09,18-39,1
2020-03-09,40-59,3
2020-03-09,60-74,7
2020-03-09,75+,11
2020-03-16,18-39,1
2020-03-16,40-59,8
2020-03-16,60-74,14
2020-03-16,75+,45
2020-03-23,18-39,6
2020-03-23,40-59,20
2020-03-23,60-74,43
2020-03-23,75+,95
2020-03-30,18-39,3
2020-03-30,40-59,29
2020-03-30,60-74,66
2020-03-30,75+,101
2020-04-06,18-39,6
2020-04-06,40-59,31
2020-04-06,60-74,46
2020-04-06,75+,117
2020-04-13,18-39,3
2020-04-13,40-59,21
2020-04-13,60-74,37
2020-04-13,75+,102
2020-04-20,18-39,7
2020-04-20,40-59,17
2020-04-20,60-74,35
2020-04-20,75+,84
2020-04-27,18-39,6
2020-04-27,40-59,18
2020-04-27,60-74,16
2020-04-27,75+,69
2020-05-04,18-39,5
2020-05-04,40-59,13
2020-05-04,60-74,20
2020-05-04,75+,67
2020-05-11,18-39,4
2020-05-11,40-59,18
2020-05-11,60-74,23
2020-05-11,75+,47
2020-05-18,18-39,6
2020-05-18,40-59,14
2020-05-18,60-74,12
2020-05-18,75+,53
2020-05-25,18-39,3
2020-05-25,40-59,11
2020-05-25,60-74,11
2020-05-25,75+,35
2020-06-01,18-39,1
2020-06-01,40-59,5
2020-06-01,60-74,12
2020-06-01,75+,27
2020-06-08,18-39,1
2020-06-08,40-59,3
2020-06-08,60-74,7
2020-06-08,75+,24
2020-06-15,18-39,1
2020-06-15,40-59,4
2020-06-15,60-74,5
2020-06-15,75+,24
2020-06-22,18-39,2
2020-06-22,40-59,1
2020-06-22,60-74,8
2020-06-22,75+,25
2020-06-29,40-59,2
2020-06-29,60-74,5
2020-06-29,75+,19
2020-07-06,18-39,1
2020-07-06,40-59,2
2020-07-06,60-74,9
2020-07-06,75+,24
2020-07-13,18-39,2
2020-07-13,40-59,1
2020-07-13,60-74,8
2020-07-13,75+,14
2020-07-20,18-39,1
2020-07-20,40-59,6
2020-07-20,60-74,16
2020-07-20,75+,17
2020-07-27,18-39,3
2020-07-27,40-59,2
2020-07-27,60-74,13
2020-07-27,75+,20
