week,group,deaths
2020-03-02,female,4
2020-03-02,male,3
2020-03-09,female,17
2020-03-09,male,24
2020-03-16,female,71
2020-03-16,male,112
2020-03-23,female,175
2020-03-23,male,219
2020-03-30,female,228
2020-03-30,male,307
2020-04-06,female,273
2020-04-06,male,341
2020-04-13,female,245
2020-04-13,male,309
2020-04-20,female,248
2020-04-20,male,254
2020-04-27,female,224
2020-04-27,male,255
2020-05-04,female,213
2020-05-04,male,234
2020-05-11,female,184
2020-05-11,male,237
2020-05-18,female,193
2020-05-18,male,196
2020-05-25,female,151
2020-05-25,male,187
2020-06-01,female,153
2020-06-01,male,196
2020-06-08,female,141
2020-06-08,male,146
2020-06-15,female,142
2020-06-15,male,139
2020-06-22,female,121
2020-06-22,male,146
2020-06-29,female,126
2020-06-29,male,162
2020-07-06,female,121
2020-07-06,male,140
2020-07-13,female,147
2020-07-13,male,173
2020-07-20,female,159
2020-07-20,male,260
2020-07-27,female,202
2020-07-27,male,260
